StartTime,Dur,proto,SrcBytes,DstBytes,SrcPkts,DstPkts
21:51:43.772800,3.005986,udp,1456,0,14,0
21:51:43.852585,4.044822,udp,332,1070,4,4
21:51:44.489393,0.0,udp,0,151,0,1
21:51:44.547580,0.000746,tcp,55,60,1,1
21:51:46.423320,0.342244,ipv6-*,450,0,5,0
21:51:46.423320,0.0,igmp,60,0,1,0
21:51:46.716799,0.0,igmp,60,0,1,0
21:51:46.717181,0.0,igmp,60,0,1,0
21:51:46.717656,0.0,igmp,60,0,1,0
21:51:46.765405,0.0,igmp,60,0,1,0
21:51:47.092484,0.000172,tcp,55,60,1,1
21:51:47.325666,0.0,tcp,0,60,0,1
21:51:47.862006,0.0,icmp,325,0,1,0
21:51:49.280312,0.0,tcp,55,0,1,0
21:51:50.058435,0.272899,udp,156,280,2,2
21:51:50.241035,3.00643,tcp,198,0,3,0
21:51:51.354222,0.228593,udp,154,276,2,2
21:51:51.582815,0.0,icmp,166,0,1,0
21:51:52.575688,0.12767,udp,156,320,2,2
21:51:52.703358,0.0,icmp,188,0,1,0
21:51:53.665657,0.180078,udp,160,296,2,2
21:51:53.845735,0.0,icmp,176,0,1,0
21:51:54.699034,3.345692,udp,984,0,12,0
21:51:54.699034,3.345692,udp,1224,0,12,0
21:51:54.760229,0.093516,udp,158,316,2,2
21:51:54.853745,0.0,icmp,186,0,1,0
21:51:54.889750,0.119934,tcp,522,377,4,3
21:51:57.263563,0.0,tcp,66,0,1,0
21:52:04.284310,0.000232,tcp,83,139,1,2
21:52:05.264609,0.0,tcp,66,0,1,0
21:52:06.845129,0.013293,udp,78,151,1,1
21:52:07.907787,0.013497,udp,78,151,1,1
21:52:08.827023,0.000277,tcp,55,60,1,1
21:52:08.950242,0.05156,udp,156,280,2,2
21:52:10.011621,0.208163,udp,154,276,2,2
21:52:11.241497,0.309824,udp,156,320,2,2
21:52:11.288477,0.0,tcp,0,60,0,1
21:52:11.551321,0.0,icmp,188,0,1,0
21:52:12.748890,0.062644,tcp,108,120,2,2
21:52:12.749018,0.038794,tcp,108,120,2,2
21:52:15.670716,0.000202,tcp,55,60,1,1
21:52:18.998213,0.000201,tcp,55,60,1,1
21:52:20.670268,0.0,tcp,60,60,1,1
21:52:22.680673,0.049355,tcp,120,120,2,2
18:38:54.552732,1.007642,man,0,0,0,77
18:39:34.476491,0.002981,man,0,0,0,0
21:51:23.664206,0.0,udp,110,0,1,0
21:51:23.814175,0.0,tcp,55,0,1,0
21:51:24.944867,0.0,tcp,66,0,1,0
21:51:26.194471,0.475913,tcp,2848,7084,12,17
21:51:27.031164,0.233691,tcp,211,287,2,2
21:51:29.691083,3.026662,udp,330,0,3,0
21:51:30.670657,0.000126,tcp,55,60,1,1
21:51:30.944505,0.0,tcp,0,60,0,1
21:51:32.435488,0.093907,udp,156,320,2,2
21:51:32.529395,0.0,icmp,188,0,1,0
21:51:33.492936,0.073073,udp,160,296,2,2
21:51:33.566009,0.0,icmp,176,0,1,0
21:51:33.983386,0.001072,tcp,55,60,1,1
21:51:34.559786,0.114788,udp,158,316,2,2
21:51:34.674574,0.0,icmp,186,0,1,0
21:51:35.514676,1.251323,ipv6-*,540,0,6,0
21:51:35.514676,0.0,igmp,60,0,1,0
21:51:35.669694,0.0,tcp,60,60,1,1
21:51:35.697389,4.768381,udp,234,459,3,3
21:51:35.765629,0.0,igmp,60,0,1,0
21:51:36.536611,0.0,igmp,60,0,1,0
21:51:36.569551,0.0,igmp,60,0,1,0
21:51:36.570379,0.0,igmp,60,0,1,0
21:51:36.581263,0.004282,udp,192,0,2,0
21:51:36.582993,0.001566,udp,232,0,2,0
21:51:36.699320,0.309191,tcp,120,120,2,2
21:51:36.765818,0.0,igmp,60,0,1,0
21:51:37.992997,3.723574,udp,234,302,3,2
21:51:40.229101,0.0,icmp,182,0,1,0
21:51:41.716571,2.772822,icmp,358,0,2,0
21:51:43.529271,0.0,tcp,0,60,0,1
21:51:43.772800,3.005703,udp,1176,0,14,0
21:51:43.772800,3.005986,udp,1456,0,14,0
21:51:43.852585,4.044822,udp,332,1070,4,4
21:51:44.489393,0.0,udp,0,151,0,1
21:51:44.547580,0.000746,tcp,55,60,1,1
21:51:46.423320,0.342244,ipv6-*,450,0,5,0
21:51:46.423320,0.0,igmp,60,0,1,0
21:51:46.716799,0.0,igmp,60,0,1,0
21:51:46.717181,0.0,igmp,60,0,1,0
21:51:46.717656,0.0,igmp,60,0,1,0
21:51:46.765405,0.0,igmp,60,0,1,0
21:51:47.092484,0.000172,tcp,55,60,1,1
21:51:47.325666,0.0,tcp,0,60,0,1
21:51:47.862006,0.0,icmp,325,0,1,0
21:51:49.280312,0.0,tcp,55,0,1,0
21:51:50.058435,0.272899,udp,156,280,2,2
21:51:50.241035,3.00643,tcp,198,0,3,0
21:51:51.354222,0.228593,udp,154,276,2,2
21:51:51.582815,0.0,icmp,166,0,1,0
21:51:52.575688,0.12767,udp,156,320,2,2
21:51:52.703358,0.0,icmp,188,0,1,0
21:51:53.665657,0.180078,udp,160,296,2,2
21:51:53.845735,0.0,icmp,176,0,1,0
21:51:54.699034,3.345692,udp,984,0,12,0
21:51:54.699034,3.345692,udp,1224,0,12,0
21:51:54.760229,0.093516,udp,158,316,2,2
21:51:54.853745,0.0,icmp,186,0,1,0
21:51:54.889750,0.119934,tcp,522,377,4,3
21:51:57.263563,0.0,tcp,66,0,1,0
21:52:04.284310,0.000232,tcp,83,139,1,2
21:52:05.264609,0.0,tcp,66,0,1,0
21:52:06.845129,0.013293,udp,78,151,1,1
21:52:07.907787,0.013497,udp,78,151,1,1
21:52:08.827023,0.000277,tcp,55,60,1,1
21:52:08.950242,0.05156,udp,156,280,2,2
21:52:10.011621,0.208163,udp,154,276,2,2
21:52:11.241497,0.309824,udp,156,320,2,2
21:52:11.288477,0.0,tcp,0,60,0,1
21:52:11.551321,0.0,icmp,188,0,1,0
21:52:12.748890,0.062644,tcp,108,120,2,2
21:52:12.749018,0.038794,tcp,108,120,2,2
21:52:15.670716,0.000202,tcp,55,60,1,1
21:52:18.998213,0.000201,tcp,55,60,1,1
21:52:20.670268,0.0,tcp,60,60,1,1
21:52:22.680673,0.049355,tcp,120,120,2,2
18:39:35.690597,1.217087,man,0,0,0,77
18:57:16.870937,0.077638,man,0,0,0,0
18:26:46.647056,0.0,tcp,60,60,1,1
18:26:49.014095,0.000334,tcp,55,60,1,1
18:26:49.651854,0.0,tcp,60,60,1,1
18:26:59.068527,0.002976,udp,82,127,1,1
18:26:59.359060,0.000506,tcp,55,60,1,1
18:26:59.447685,0.0,tcp,60,60,1,1
18:27:04.198562,0.000473,tcp,55,60,1,1
18:27:05.073855,0.002853,udp,82,127,1,1
18:27:05.103998,0.000733,tcp,55,60,1,1
18:27:05.356102,0.000506,tcp,55,60,1,1
18:27:07.089204,0.0,tcp,60,60,1,1
18:27:10.124512,0.252558,tcp,2066,54105,13,48
18:27:10.161445,0.0,ip,2121,0,1,0
18:27:14.588042,0.0,tcp,60,60,1,1
18:27:14.713531,0.0,tcp,60,60,1,1
18:27:14.776091,0.0,tcp,60,60,1,1
18:27:15.132024,0.000828,tcp,55,60,1,1
18:27:15.132520,2.7e-05,arp,60,42,1,1
18:27:15.304769,3.010871,udp,330,0,3,0
18:27:17.776176,4.516282,udp,440,0,4,0
18:27:20.076904,0.000432,tcp,55,60,1,1
18:27:23.038565,0.000326,tcp,55,60,1,1
18:27:23.807138,4.531336,udp,440,0,4,0
18:27:24.334240,3.001598,udp,330,0,3,0
18:27:29.854358,4.548123,udp,440,0,4,0
18:27:31.650699,0.0,tcp,60,60,1,1
18:27:33.382572,3.027347,udp,330,0,3,0
18:27:34.015708,0.000262,tcp,55,60,1,1
18:27:34.666584,0.0,tcp,60,60,1,1
18:27:42.428877,0.0,udp,110,0,1,0
18:57:18.013754,1.220455,man,0,0,0,31
19:03:02.995386,0.001056,man,0,0,0,0
19:02:00.426445,2.079271,ip,70156,0,10,0
19:02:00.426587,0.237786,tcp,639,1887,2,5
19:02:00.680022,1.818758,tcp,108,2846,2,6
19:02:00.870344,4.675296,tcp,3045,27205,16,65
19:02:01.129091,2.226161,tcp,2294,79192,30,56
19:02:01.180802,0.000227,tcp,55,60,1,1
19:02:01.199572,1.954751,tcp,162,8160,3,18
19:02:01.563996,0.0,tcp,55,0,1,0
19:02:01.661861,1.405592,tcp,573,8518,6,10
19:02:01.955324,0.000873,tcp,60,85,1,1
19:02:02.206711,0.000224,tcp,54,85,1,1
19:02:04.450230,0.004173,udp,71,103,1,1
19:02:05.936130,0.003886,udp,91,179,1,1
